利用者連番,利用者ID,タグ／ＱＲフラグ,タグ／ＱＲフラグ,利用者分類ID,利用者分類,利用者名,フリガナ,年齢,携帯電話番号,自宅電話番号,メールアドレス,本人確認書類,本人確認チェック済,本人確認チェック済,本人確認日時,退会フラグ,退会フラグ,退会日
10000134,100001343,0,タグ,,,村山大輔,ムラヤマダイスケ,,'073-455-5397,'010-1234-5678,damerider@gmail.com,,,,,1,はい,
10000135,100001352,0,タグ,,,村山大輔,ムラヤマダイスケ,,,'080-4432-4579,damerider@gmail.com,,,,,1,はい,
10000136,100001361,0,タグ,,,村山だいすけ,ムラヤマダイスケ,,,'080-4432-4579,muyan1977@aol.com,,3,手動チェックOK,,1,はい,2019-08-15
10000139,100001395,,タグ,,,hｕｅ,アアアアアアアア,,,'012-0000-1000,daothihue98@yahoo.com,,,,,0,いいえ,
10000141,100001413,0,タグ,19,一般/区民外/該当なし,畑田　倫亨3,ハタダトモユキ,,,'080-1234-2648,systest118@gmail.com,免許証,5,自動チェックNG,"2019-04-02 15:29:56",0,いいえ,
10000142,100001422,0,タグ,19,一般/区民外/該当なし,堀田奈緒子,ホッタナオコ,,'080-0000-0000,'000-0000-0000,n.hotta0697@gmail.com,免許証,5,自動チェックNG,"2019-03-06 16:24:21",0,いいえ,
10000145,100001456,0,タグ,,,administrator,タナカ　タロウ,,,,,,1,未チェック,,0,いいえ,
10000146,100001465,0,タグ,2,一般/区民/該当なし,,テストタロウ,,,,,,1,未チェック,,0,いいえ,
10000147,100001474,0,タグ,2,一般/区民/該当なし,運勢　貴,ウンセイタカシ,,,'080-3635-3913,,免許証,3,手動チェックOK,"2019-08-22 21:15:05",1,はい,
10000150,100001501,,タグ,,,ああああああ,ダイ　テイ　フエ,,,'123-4567-8900,nangtinyeu1010@gmail.com,,,,,0,いいえ,
10000154,100001544,0,タグ,2,一般/区民/該当なし,三輪　健一,ミワ　ケンイチ,,,'090-8852-6737,kenbou555@gmail.com,免許証,3,手動チェックOK,"2020-02-24 11:51:50",0,いいえ,
10000157,100001571,0,タグ,19,一般/区民外/該当なし,田邉　まき,タナベ　マキ,,,'080-1234-2648,harry012927t@gmail.com,免許証,3,手動チェックOK,"2019-09-10 00:00:00",0,いいえ,
10000192,100001921,,タグ,2,一般/区民/該当なし,小野寺伸哉,オノデラシンヤ,,,'080-5412-0227,onod@kokoupz.com,その他（パスポート、保険証、社員証等）,,,,0,いいえ,
10000210,100002104,,タグ,,,山田　太郎,,,,,,,,,,,いいえ,
10000213,100002131,,タグ,,,会員情報,フリガナ,,,'123-4567-8910,pnavu167@gmail.com,,,,,0,いいえ,
10000219,100002192,0,タグ,,,田邉麻貴,,,,,,,1,未チェック,,0,いいえ,
10000222,100002226,0,タグ,19,一般/区民外/該当なし,村山大輔,ムラヤマダイスケ,,,'080-4432-4579,muyan1977@aol.com,免許証,5,自動チェックNG,,0,いいえ,
10000231,100002314,,タグ,,,てすとたろう,テストタロウ,,,'080-4432-4579,info@greengrave.net,,,,,0,いいえ,
10000234,100002341,,タグ,,,座間　太郎,ザマタロウ,,,'111-2222-3333,zamat7103@gmail.com,,,,,0,いいえ,
10000252,100002524,,タグ,2,一般/区民/該当なし,竹内　英里子,タケウチ　エリコ,,,'000-0000-0000,m1ckeyw0rk1999@gmail.com,免許証,3,手動チェックOK,"2020-02-19 17:38:33",1,はい,2020-02-19
10000258,100002585,,タグ,2,一般/区民/該当なし,三輪　健一,ミワ　ケンイチ,,,'090-8852-6737,k_miwa@llvictor.com,免許証,3,手動チェックOK,"2020-02-24 11:44:16",0,いいえ,
10000261,100002612,0,タグ,23,一般/区民外/減免,イオ太郎,イオタロウ,,,'090-1234-1234,m19990127tanabe@gmail.com,免許証,5,自動チェックNG,,1,はい,2020-05-14
10000264,100002646,0,タグ,19,一般/区民外/該当なし,日本花子,二ホンハナコ,,,'090-1234-1234,tomabibi.n3175@gmail.com,免許証,5,自動チェックNG,"2020-04-30 15:49:28",0,いいえ,
10000267,100002673,,タグ,,,竹内英里子,タケウチエリコ,,,'080-1111-2222,takeuchi@bigal.co.jp,,3,手動チェックOK,,0,いいえ,
10000270,100002707,0,タグ,19,一般/区民外/該当なし,河野　幹久,コウノ　ミキヒサ,,,'080-7855-2308,bigal.m1ckey@gmail.com,学生証,3,手動チェックOK,"2020-03-26 00:00:00",0,いいえ,
10000273,100002734,,タグ,,,上見　和男,ジョウケン,,,'080-3250-6414,kjoken0604+1234@gmail.com,,,,,0,いいえ,
10000285,100002856,0,タグ,,,竹内英里子,タケウチエリコ,,,,eriboo402+1234@gmail.com,,1,未チェック,,0,いいえ,
10000286,100002865,,タグ,,,イオ太郎,イオタロウ,,,'080-1234-2648,tomabibi.n3175+aaaaa@gmail.com,,,,,0,いいえ,
10000287,100002874,0,タグ,,,"ソーリン太郎","ソーリンタロウ",,,,,,1,未チェック,,0,いいえ,
10000288,100002883,0,タグ,23,一般/区民外/減免,"ソウリン太郎","ソーリンタロウ",,,'080-1234-2648,m31tanabe+test@gmail.com,学生証,5,自動チェックNG,"2020-05-13 00:00:00",0,いいえ,2020-05-13
10000289,100002892,0,タグ,,,佐々木　太郎,,,,,,,1,未チェック,,0,いいえ,
10000290,100002901,,タグ,24,学生/区民/該当なし,佐々木　二郎,ササキ　ジロウ,,,'080-3351-4773,bgl.joken0604@gmail.com,学生証,5,自動チェックNG,"2020-04-24 22:10:04",0,いいえ,
10000291,100002917,0,タグ,,,村山大輔,ムラヤマダイスケ,,,'080-4432-4579,damerider@gmail.com,,1,未チェック,,0,いいえ,
10000292,100002926,,タグ,,,お,フリ,,,'123-4561-7891,pnavu167@gmail.com9999,,,,,0,いいえ,
10000293,100002935,,タグ,,,おおお,フフフ,,,'123-4567-8996,daodongkhe1010@gmail.com,,,,,0,いいえ,
10000294,100002944,,タグ,,,おおお,フフフ,,,'123-4567-8996,daodongkhe1010@gmail.com,,,,,0,いいえ,
10000295,100002953,,タグ,,,お,フリ,,,'123-4561-7891,pnavu167@gmail.com9999,,,,,0,いいえ,
10000296,100002962,,タグ,,,お,フリ,,,'123-4561-7891,pnavu167@gmail.com9999,,,,,0,いいえ,
10000297,100002971,,タグ,,,お名前,フリガナ,,,'000-0000-0000,buihuybinh1994@gmail.com,,,,,0,いいえ,
10000298,100002987,,タグ,,,お,フリ,,,'123-4561-7891,pnavu167@gmail.com99991,,,,,0,いいえ,
10000299,100002996,,タグ,,,お名前,フリガナ,,,'000-0000-0000,buihuybinh1994@gmail.com,,,,,0,いいえ,
10000300,100003005,,タグ,,,お,フリ,,,'123-4561-7891,tikmtute@gmail.com,,,,,0,いいえ,
10000301,100003014,,タグ,,,お,フフフフ,,,'123-4567-8996,nguyencaonguyen10101991@gmail.com,,,,,0,いいえ,
10000302,100003023,,タグ,,,フ,フ,,,'123-4657-8999,bacnguyen11b41998@gmail.com1,,,,,0,いいえ,
10000303,100003032,0,タグ,,,フ,フ,,,,,,1,未チェック,,0,いいえ,
10000304,100003041,0,タグ,,,フ,ガｿ,,,,,,1,未チェック,,0,いいえ,
